# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   56       2.316382030710e-10       2.580130886075e-14      -1.423185216268e-13       0.000000000000e+00       5.586982996964e-11      -4.780352852612e-12      -1.086540921836e-14 
   57       2.348821014363e-10       2.724277946284e-14      -1.836338014337e-13       0.000000000000e+00       5.357145326044e-11      -4.522932135942e-12      -1.132848132626e-14 
   58       2.381578942096e-10       2.872841250614e-14      -2.269966676198e-13       0.000000000000e+00       5.140418096389e-11      -4.281853499558e-12      -1.181443734822e-14 
   59       2.414657247908e-10       3.025806166940e-14      -2.724101331157e-13       0.000000000000e+00       4.935780455854e-11      -4.055474162844e-12      -1.227482001660e-14 
   60       2.448044722729e-10       3.183152219330e-14      -3.198748491329e-13       0.000000000000e+00       4.741760709724e-11      -3.841577461991e-12      -1.265446938807e-14 
   61       2.481727568867e-10       3.344845496838e-14      -3.693881315004e-13       0.000000000000e+00       4.556833874516e-11      -3.637945435097e-12      -1.290427681173e-14 
   62       2.515724184511e-10       3.510814158784e-14      -4.209408137914e-13       0.000000000000e+00       4.380774249752e-11      -3.444295202674e-12      -1.302342751972e-14 
   63       2.550056666308e-10       3.680967194522e-14      -4.745196614869e-13       0.000000000000e+00       4.213564188467e-11      -3.260725523871e-12      -1.302618460380e-14 
   64       2.584740047298e-10       3.855201060719e-14      -5.301082276062e-13       0.000000000000e+00       4.054987766061e-11      -3.087141408859e-12      -1.292982098012e-14 
   65       2.619781766782e-10       4.033399324914e-14      -5.876868091834e-13       0.000000000000e+00       3.904619582827e-11      -2.923242994399e-12      -1.275475211661e-14 
   66       2.655181140197e-10       4.215432309062e-14      -6.472324037452e-13       0.000000000000e+00       3.761813566482e-11      -2.768514419414e-12      -1.252466876027e-14 
   67       2.690928828986e-10       4.401156733092e-14      -7.087186657870e-13       0.000000000000e+00       3.625691774686e-11      -2.622212700552e-12      -1.226666966454e-14 
   68       2.727014235991e-10       4.590430128439e-14      -7.721173095985e-13       0.000000000000e+00       3.495373236349e-11      -2.483558111616e-12      -1.200606908666e-14 
   69       2.763450616704e-10       4.783158266843e-14      -8.374027451019e-13       0.000000000000e+00       3.370739350188e-11      -2.352374983398e-12      -1.174930082980e-14 
   70       2.800254127253e-10       4.979256745692e-14      -9.045483074860e-13       0.000000000000e+00       3.251804173025e-11      -2.228561358932e-12      -1.149777263075e-14 
   71       2.837436027519e-10       5.178637089270e-14      -9.735248875551e-13       0.000000000000e+00       3.138483135604e-11      -2.111893114237e-12      -1.125288148301e-14 
   72       2.875002353712e-10       5.381206770057e-14      -1.044300925198e-12       0.000000000000e+00       3.030587984224e-11      -2.002017987442e-12      -1.101601016900e-14 
   73       2.912953590941e-10       5.586869230027e-14      -1.116842402855e-12       0.000000000000e+00       2.927821722360e-11      -1.898449607900e-12      -1.078852379225e-14 
   74       2.951284345780e-10       5.795523901954e-14      -1.191112838987e-12       0.000000000000e+00       2.829773552287e-11      -1.800561525307e-12      -1.057176630960e-14 
   75       2.989983018845e-10       6.007066230705e-14      -1.267073281541e-12       0.000000000000e+00       2.735913816713e-11      -1.707581238824e-12      -1.036705706338e-14 
   76       3.029037393904e-10       6.221380417900e-14      -1.344682684896e-12       0.000000000000e+00       2.645722765455e-11      -1.618766089016e-12      -1.017548997583e-14 
   77       3.068453305679e-10       6.438316081339e-14      -1.423899134478e-12       0.000000000000e+00       2.559115145944e-11      -1.533981162364e-12      -9.997296523092e-15 
   78       3.108238797150e-10       6.657707358232e-14      -1.504678834627e-12       0.000000000000e+00       2.476084208527e-11      -1.453216412156e-12      -9.832359756460e-15 
   79       3.148398302237e-10       6.879379678409e-14      -1.586975746246e-12       0.000000000000e+00       2.396572473437e-11      -1.376411939293e-12      -9.680393941907e-15 
   80       3.188932439695e-10       7.103149636409e-14      -1.670741588133e-12       0.000000000000e+00       2.320469416615e-11      -1.303455750649e-12      -9.540937045726e-15 
   81       3.229837807007e-10       7.328824863564e-14      -1.755925838307e-12       0.000000000000e+00       2.247609155521e-11      -1.234181517439e-12      -9.413343220146e-15 
   82       3.271106774278e-10       7.556203900087e-14      -1.842475735349e-12       0.000000000000e+00       2.177768134953e-11      -1.168366333578e-12      -9.296775288964e-15 
