# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   51       2.160629968316e-10       1.938610164220e-14       3.317303607622e-14       1.308470331938e-16       6.954158290104e-11      -6.351879663112e-12      -9.845197352546e-15 
   52       2.191599203425e-10       2.061087924426e-14       1.994805708477e-15       1.360544557707e-16       6.647782362762e-11      -5.993510475314e-12      -9.896688731333e-15 
   53       2.222929755779e-10       2.188004722684e-14      -3.121103346984e-14       1.413632392900e-16       6.359682980795e-11      -5.659847977814e-12      -9.991023687677e-15 
   54       2.254576804715e-10       2.319360454080e-14      -6.644473928847e-14       1.467730194685e-16       6.087966409374e-11      -5.348103745291e-12      -1.016991758379e-14 
   55       2.286491273485e-10       2.455150275764e-14      -1.037048574758e-13       1.522834231946e-16       5.830525710568e-11      -5.055214798988e-12      -1.046725647428e-14 
   56       2.318687607354e-10       2.595373460306e-14      -1.429983481150e-13       1.578941653023e-16       5.586982996964e-11      -4.780352852612e-12      -1.086540921836e-14 
   57       2.351189856097e-10       2.740026343865e-14      -1.843327390663e-13       1.636049738266e-16       5.357145326044e-11      -4.522932135942e-12      -1.132848132626e-14 
   58       2.384011179266e-10       2.889099642600e-14      -2.277132155462e-13       1.694155623643e-16       5.140418096389e-11      -4.281853499558e-12      -1.181443734822e-14 
   59       2.417152969158e-10       3.042578333050e-14      -2.731426070139e-13       1.753256300851e-16       4.935780455854e-11      -4.055474162844e-12      -1.227482001660e-14 
   60       2.450603973786e-10       3.200441532499e-14      -3.206213740597e-13       1.813348617423e-16       4.741760709724e-11      -3.841577461991e-12      -1.265446938807e-14 
   61       2.484350352815e-10       3.362654922165e-14      -3.701466380249e-13       1.874429680419e-16       4.556833874516e-11      -3.637945435097e-12      -1.290427681173e-14 
   62       2.518410467065e-10       3.529146300001e-14      -4.217090450038e-13       1.936498173135e-16       4.380774249752e-11      -3.444295202674e-12      -1.302342751972e-14 
   63       2.552806377117e-10       3.699824303206e-14      -4.752951714611e-13       1.999553335478e-16       4.213564188467e-11      -3.260725523871e-12      -1.302618460380e-14 
   64       2.587553079799e-10       3.874585032014e-14      -5.308883767602e-13       2.063594599124e-16       4.054987766061e-11      -3.087141408859e-12      -1.292982098012e-14 
   65       2.622657978044e-10       4.053311693455e-14      -5.884687596768e-13       2.128621600432e-16       3.904619582827e-11      -2.923242994399e-12      -1.275475211661e-14 
   66       2.658120350766e-10       4.235874245120e-14      -6.480131149127e-13       2.194634193353e-16       3.761813566482e-11      -2.768514419414e-12      -1.252466876027e-14 
   67       2.693930822719e-10       4.422129038924e-14      -7.094948896103e-13       2.261632462347e-16       3.625691774686e-11      -2.622212700552e-12      -1.226666966454e-14 
   68       2.730078758686e-10       4.611933251772e-14      -7.728855863569e-13       2.329616719589e-16       3.495373236349e-11      -2.483558111616e-12      -1.200606908666e-14 
   69       2.766577370832e-10       4.805192369306e-14      -8.381593995221e-13       2.398587467065e-16       3.370739350188e-11      -2.352374983398e-12      -1.174930082980e-14 
   70       2.803442769784e-10       5.001821727866e-14      -9.052894445605e-13       2.468545449959e-16       3.251804173025e-11      -2.228561358932e-12      -1.149777263075e-14 
   71       2.840686168848e-10       5.201732600432e-14      -9.742463882681e-13       2.539491683966e-16       3.138483135604e-11      -2.111893114237e-12      -1.125288148301e-14 
   72       2.878313556543e-10       5.404832218577e-14      -1.044998442290e-12       2.611427467805e-16       3.030587984224e-11      -2.002017987442e-12      -1.101601016900e-14 
   73       2.916325369140e-10       5.611023794405e-14      -1.117511356632e-12       2.684354395728e-16       2.927821722360e-11      -1.898449607900e-12      -1.078852379225e-14 
   74       2.954716163193e-10       5.820206542497e-14      -1.191748413163e-12       2.758274370034e-16       2.829773552287e-11      -1.800561525307e-12      -1.057176630960e-14 
   75       2.993474288076e-10       6.032275701861e-14      -1.267670419131e-12       2.833189613582e-16       2.735913816713e-11      -1.707581238824e-12      -1.036705706338e-14 
   76       3.032587473322e-10       6.247115282653e-14      -1.345236085196e-12       2.909102267302e-16       2.645722765455e-11      -1.618766089016e-12      -1.017548997583e-14 
   77       3.072061490807e-10       6.464574730857e-14      -1.424403253473e-12       2.986013070355e-16       2.559115145944e-11      -1.533981162364e-12      -9.997296523092e-15 
   78       3.111904316579e-10       6.684488028402e-14      -1.505127882679e-12       3.063922460910e-16       2.476084208527e-11      -1.453216412156e-12      -9.832359756460e-15 
   79       3.152120315116e-10       6.906680465685e-14      -1.587363684839e-12       3.142830973722e-16       2.396572473437e-11      -1.376411939293e-12      -9.680393941907e-15 
   80       3.192710033144e-10       7.130968514334e-14      -1.671062126680e-12       3.222739244138e-16       2.320469416615e-11      -1.303455750649e-12      -9.540937045726e-15 
   81       3.233669993467e-10       7.357159699969e-14      -1.756172431026e-12       3.303648012095e-16       2.247609155521e-11      -1.234181517439e-12      -9.413343220146e-15 
   82       3.274992488782e-10       7.585052474962e-14      -1.842641578191e-12       3.385558126122e-16       2.177768134953e-11      -1.168366333578e-12      -9.296775288964e-15 
   83       3.316665375507e-10       7.814436091199e-14      -1.930414307375e-12       3.468470547345e-16       2.110662812865e-11      -1.105728474044e-12      -9.190197233165e-15 
   84       3.358676955772e-10       8.045098582682e-14      -2.019433747864e-12       3.552386443952e-16       2.046017146855e-11      -1.045989014836e-12      -9.092524444346e-15 
   85       3.401032004939e-10       8.276852512565e-14      -2.109643429833e-12       3.637307483835e-16       1.983782977367e-11      -9.890733402247e-13      -9.003119564738e-15 
   86       3.443738035442e-10       8.509513280987e-14      -2.200985610999e-12       3.723235598023e-16       1.923952106283e-11      -9.349390865215e-13      -8.921365451913e-15 
   87       3.486800325975e-10       8.742891403664e-14      -2.293400688247e-12       3.810172899974e-16       1.866488620378e-11      -8.835140995201e-13      -8.846509928339e-15 
   88       3.530221800826e-10       8.976792520939e-14      -2.386827209614e-12       3.898121691092e-16       1.811327750251e-11      -8.346952661626e-13      -8.777660918571e-15 
   89       3.574002909221e-10       9.211017406852e-14      -2.481201886265e-12       3.987084466254e-16       1.758374729265e-11      -7.883473462068e-13      -8.713781586431e-15 
   90       3.618141504654e-10       9.445361978192e-14      -2.576459604472e-12       4.077063919329e-16       1.707503652485e-11      -7.443018038938e-13      -8.653685472196e-15 
   91       3.662632724232e-10       9.679617303564e-14      -2.672533437591e-12       4.168062948701e-16       1.658556335615e-11      -7.023556396149e-13      -8.596031629781e-15 
   92       3.707468868012e-10       9.913569612445e-14      -2.769354658045e-12       4.260084662791e-16       1.611341173933e-11      -6.622702215792e-13      -8.539319763922e-15 
   93       3.752642013877e-10       1.014700345050e-13      -2.866853226405e-12       4.353132860959e-16       1.565677834966e-11      -6.238227274381e-13      -8.482175483219e-15 
   94       3.798152574133e-10       1.037971166871e-13      -2.964959316776e-12       4.447213546948e-16       1.521541504004e-11      -5.869718570004e-13      -8.424265697282e-15 
   95       3.844001808725e-10       1.061148696034e-13      -3.063602044043e-12       4.542333654330e-16       1.478938324354e-11      -5.517149985598e-13      -8.365512545135e-15 
   96       3.890189122361e-10       1.084211890012e-13      -3.162709025490e-12       4.638500603295e-16       1.437860991584e-11      -5.180373994591e-13      -8.305814677896e-15 
   97       3.936711981400e-10       1.107139399648e-13      -3.262206399324e-12       4.735722312699e-16       1.398288241607e-11      -4.859117199251e-13      -8.245046378343e-15 
   98       3.983565830743e-10       1.129909574378e-13      -3.362018843207e-12       4.834007212115e-16       1.360184338778e-11      -4.552975869046e-13      -8.183056680463e-15 
   99       4.030744010723e-10       1.152500467459e-13      -3.462069592782e-12       4.933364253875e-16       1.323498563977e-11      -4.261411478997e-13      -8.119668489014e-15 
  100       4.078237673986e-10       1.174889841195e-13      -3.562280460200e-12       5.033802925119e-16       1.288164702702e-11      -3.983746248034e-13      -8.054677699081e-15 
  101       4.126035702387e-10       1.197055172156e-13      -3.662571852649e-12       5.135333259848e-16       1.254100533157e-11      -3.719158677352e-13      -7.987852315632e-15 
  102       4.174124623875e-10       1.218973656408e-13      -3.762862790882e-12       5.237965850964e-16       1.221207314341e-11      -3.466679088764e-13      -7.918931573080e-15 
  103       4.222488529383e-10       1.240622214735e-13      -3.863070927746e-12       5.341711862323e-16       1.189369274141e-11      -3.225185163061e-13      -7.847625054834e-15 
  104       4.271112286786e-10       1.261978073413e-13      -3.963113597726e-12       5.446582290007e-16       1.158479494422e-11      -2.993632723058e-13      -7.773712881268e-15 
  105       4.319991856246e-10       1.283020584614e-13      -4.062911087152e-12       5.552585606550e-16       1.128522651230e-11      -2.771793197535e-13      -7.697363583489e-15 
  106       4.369125219863e-10       1.303729662797e-13      -4.162383842351e-12       5.659729819461e-16       1.099502549268e-11      -2.559607923910e-13      -7.618857728182e-15 
  107       4.418509162726e-10       1.324085242530e-13      -4.261451507570e-12       5.768023197329e-16       1.071416503828e-11      -2.356959945620e-13      -7.538490911116e-15 
  108       4.468139226028e-10       1.344067290041e-13      -4.360032954835e-12       5.877474273624e-16       1.044255118951e-11      -2.163672135588e-13      -7.456573987344e-15 
  109       4.518009660188e-10       1.363655814765e-13      -4.458046313809e-12       5.988091850492e-16       1.018002065598e-11      -1.979505319680e-13      -7.373433301403e-15 
  110       4.568113377972e-10       1.382830880898e-13      -4.555409001652e-12       6.099885002552e-16       9.926338598136e-12      -1.804156400169e-13      -7.289410917510e-15 
  111       4.618441907612e-10       1.401572618941e-13      -4.652037752874e-12       6.212863080698e-16       9.681196408958e-12      -1.637256479197e-13      -7.204864849764e-15 
  112       4.668985345927e-10       1.419861237255e-13      -4.747848649199e-12       6.327035715889e-16       9.444209495584e-12      -1.478368982236e-13      -7.120169292345e-15 
  113       4.719732311440e-10       1.437677033605e-13      -4.842757149418e-12       6.442412822952e-16       9.214915061004e-12      -1.326987781551e-13      -7.035714849712e-15 
  114       4.770669897502e-10       1.455000406716e-13      -4.936678119247e-12       6.559004604377e-16       8.992769885710e-12      -1.182535319662e-13      -6.951908766802e-15 
  115       4.821783625409e-10       1.471811867816e-13      -5.029525861188e-12       6.676821554116e-16       8.777148109370e-12      -1.044360732804e-13      -6.869175159231e-15 
  116       4.873059293788e-10       1.488092577159e-13      -5.121214968540e-12       6.795874276390e-16       8.567476741014e-12      -9.118676139351e-14      -6.787870120276e-15 
  117       4.924488882057e-10       1.503826002894e-13      -5.211662941404e-12       6.916172908996e-16       8.363665623334e-12      -7.849189361400e-14      -6.708014840307e-15 
  118       4.976065280020e-10       1.518996486512e-13      -5.300787946283e-12       7.037727636692e-16       8.165725821564e-12      -6.634780655755e-14      -6.629530320949e-15 
  119       5.027780426043e-10       1.533588751931e-13      -5.388508057127e-12       7.160548872049e-16       7.973635582746e-12      -5.474828046450e-14      -6.552319078214e-15 
  120       5.079625276935e-10       1.547587921696e-13      -5.474741292479e-12       7.284647257613e-16       7.787339335155e-12      -4.368446616982e-14      -6.476264620059e-15 
  121       5.131589777839e-10       1.560979533162e-13      -5.559405652620e-12       7.410033668064e-16       7.606746687720e-12      -3.314481207316e-14      -6.401230923953e-15 
  122       5.183662832116e-10       1.573749554692e-13      -5.642419156711e-12       7.536719212385e-16       7.431731429451e-12      -2.311499110884e-14      -6.327061914433e-15 
  123       5.235832271229e-10       1.585884401842e-13      -5.723699879940e-12       7.664715236015e-16       7.262130528857e-12      -1.357782771588e-14      -6.253580940673e-15 
  124       5.288084824634e-10       1.597370953557e-13      -5.803165990666e-12       7.794033323018e-16       7.097743133378e-12      -4.513224808000e-15      -6.180590254043e-15 
  125       5.340406089665e-10       1.608196568362e-13      -5.880735787566e-12       7.924685298239e-16       6.938329568799e-12       4.101909256353e-15      -6.107870485670e-15 
  126       5.392780501415e-10       1.618349100547e-13      -5.956327736775e-12       8.056683229472e-16       6.783610338680e-12       1.229373370400e-14      -6.035180124006e-15 
  127       5.445191302630e-10       1.627816916368e-13      -6.029860509037e-12       8.190039429616e-16       6.633265123778e-12       2.009154837701e-14      -5.962254992383e-15 
  128       5.497620513591e-10       1.636588910229e-13      -6.101253016845e-12       8.324766458839e-16       6.486931781470e-12       2.752786676269e-14      -5.888807726581e-15 
