# Matter power spectrum P(k) at redshift z=0
# for k=1.03438e-05 to 1.68952 h/Mpc,
# number of wavenumbers equal to 608
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.521258621040e-02       2.183947773224e+04 
       3.537469091170e-02       2.174105683937e+04 
       3.553772283353e-02       2.164265873723e+04 
       3.570171098457e-02       2.154431898874e+04 
       3.586668555244e-02       2.144606294973e+04 
       3.603267796617e-02       2.134786732811e+04 
       3.619972096284e-02       2.124976790802e+04 
       3.636784865883e-02       2.115164568116e+04 
       3.653709662576e-02       2.105356202904e+04 
       3.670750197188e-02       2.095566408043e+04 
       3.687910342907e-02       2.085775492324e+04 
       3.705194144609e-02       2.075988547385e+04 
       3.722605828857e-02       2.066212471321e+04 
       3.740149814632e-02       2.056438514279e+04 
       3.757830724861e-02       2.046670208818e+04 
       3.775653398816e-02       2.036905273155e+04 
       3.793622905462e-02       2.027147435430e+04 
       3.811744557841e-02       2.017396717126e+04 
       3.830023928589e-02       2.007650322668e+04 
       3.848466866697e-02       1.997898789356e+04 
       3.867079515631e-02       1.988157897158e+04 
       3.885868332951e-02       1.978420094892e+04 
       3.904840111573e-02       1.968683830837e+04 
       3.924002002844e-02       1.958951128816e+04 
       3.943361541613e-02       1.949209591574e+04 
       3.962926673512e-02       1.939482161479e+04 
       3.982705784679e-02       1.929750512765e+04 
       4.002707734182e-02       1.920018929492e+04 
       4.022941889459e-02       1.910285399415e+04 
       4.043418165087e-02       1.900550150571e+04 
       4.064147065278e-02       1.890812426357e+04 
       4.085139730524e-02       1.881067077145e+04 
       4.106407988896e-02       1.871321998738e+04 
       4.127964412526e-02       1.861563367270e+04 
       4.149822379948e-02       1.851808671332e+04 
       4.171996144993e-02       1.842039949607e+04 
       4.194500913096e-02       1.832261330266e+04 
       4.217352925967e-02       1.822466175347e+04 
       4.240569555738e-02       1.812669379247e+04 
       4.264169409856e-02       1.802852457119e+04 
       4.288172448228e-02       1.793019683417e+04 
       4.312600114316e-02       1.783170054566e+04 
       4.337475482208e-02       1.773301157399e+04 
       4.362823422012e-02       1.763408842465e+04 
       4.388670786315e-02       1.753491626018e+04 
       4.415046620966e-02       1.743550109176e+04 
       4.441982403988e-02       1.733580303306e+04 
       4.469512317159e-02       1.723571905439e+04 
       4.497673555644e-02       1.713535833556e+04 
       4.526506682091e-02       1.703460574869e+04 
       4.556056032887e-02       1.693341190059e+04 
       4.586370185814e-02       1.683177632493e+04 
       4.617502500260e-02       1.672958781136e+04 
       4.649511743501e-02       1.662690153504e+04 
       4.682462819507e-02       1.652360119323e+04 
       4.716427620371e-02       1.641970529022e+04 
       4.751486025051e-02       1.631505182357e+04 
       4.787727075832e-02       1.620960889749e+04 
       4.825250370191e-02       1.610329756097e+04 
       4.864167714890e-02       1.599605841439e+04 
       4.904605100801e-02       1.588774296830e+04 
       4.946705071735e-02       1.577830026306e+04 
       4.990629579499e-02       1.566761839852e+04 
       5.036563441423e-02       1.555548339108e+04 
       5.084718547252e-02       1.544177567079e+04 
       5.135339001023e-02       1.532625961446e+04 
       5.188707432017e-02       1.520875154850e+04 
       5.245152768425e-02       1.508891079853e+04 
       5.305059838018e-02       1.496648331974e+04 
       5.368881238862e-02       1.484094943649e+04 
       5.437151999697e-02       1.471191390202e+04 
       5.510507598787e-02       1.457864904353e+04 
       5.589705876535e-02       1.444028745650e+04 
       5.675653146941e-02       1.429578889315e+04 
       5.769434164617e-02       1.414376161839e+04 
       5.872344129220e-02       1.398219330127e+04 
       5.985917913846e-02       1.380853326847e+04 
       6.111946164311e-02       1.361924026686e+04 
       6.252458767607e-02       1.340959869003e+04 
       6.409643662249e-02       1.317329001867e+04 
       6.585658180293e-02       1.290233283987e+04 
       6.782297035109e-02       1.258736387074e+04 
       7.000533730381e-02       1.221860197151e+04 
       7.240065619942e-02       1.178863400980e+04 
       7.499106357725e-02       1.129528834404e+04 
       7.774629980839e-02       1.074468612173e+04 
       8.063009913056e-02       1.015160114318e+04 
       8.360731186994e-02       9.537795483896e+03 
