# Matter power spectrum P(k) at redshift z=0
# for k=1.03438e-05 to 1.68952 h/Mpc,
# number of wavenumbers equal to 608
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.995964249633e-02       2.515185514198e+04 
       3.010145555696e-02       2.505419250292e+04 
       3.024362661457e-02       2.495644323447e+04 
       3.038616460667e-02       2.485852948476e+04 
       3.052907873610e-02       2.476053277032e+04 
       3.067237848084e-02       2.466254408105e+04 
       3.081607360410e-02       2.456437552296e+04 
       3.096017416497e-02       2.446610103702e+04 
       3.110469052957e-02       2.436781759405e+04 
       3.124963338261e-02       2.426941732740e+04 
       3.139501373969e-02       2.417092717468e+04 
       3.154084295998e-02       2.407250631664e+04 
       3.168713275967e-02       2.397386468899e+04 
       3.183389522602e-02       2.387535670196e+04 
       3.198114283208e-02       2.377675084621e+04 
       3.212888845217e-02       2.367811410336e+04 
       3.227714537814e-02       2.357938522117e+04 
       3.242592733645e-02       2.348083075305e+04 
       3.257524850613e-02       2.338215030975e+04 
       3.272512353765e-02       2.328345469377e+04 
       3.287556757281e-02       2.318480235021e+04 
       3.302659626564e-02       2.308614853108e+04 
       3.317822580451e-02       2.298740034282e+04 
       3.333047293527e-02       2.288887186568e+04 
       3.348335498583e-02       2.279024113326e+04 
       3.363688989202e-02       2.269164987970e+04 
       3.379109622482e-02       2.259304959867e+04 
       3.394599321929e-02       2.249455005501e+04 
       3.410160080501e-02       2.239613023760e+04 
       3.425793963833e-02       2.229760371573e+04 
       3.441503113652e-02       2.219923583914e+04 
       3.457289751391e-02       2.210091755952e+04 
       3.473156182019e-02       2.200256611901e+04 
       3.489104798104e-02       2.190431084034e+04 
       3.505138084123e-02       2.180614165527e+04 
       3.521258621040e-02       2.170800813809e+04 
       3.537469091170e-02       2.160993084389e+04 
       3.553772283353e-02       2.151187835466e+04 
       3.570171098457e-02       2.141388624044e+04 
       3.586668555244e-02       2.131597964570e+04 
       3.603267796617e-02       2.121813542644e+04 
       3.619972096284e-02       2.112038933361e+04 
       3.636784865883e-02       2.102262254963e+04 
       3.653709662576e-02       2.092489642678e+04 
       3.670750197188e-02       2.082735777661e+04 
       3.687910342907e-02       2.072980994275e+04 
       3.705194144609e-02       2.063230401032e+04 
       3.722605828857e-02       2.053490864527e+04 
       3.740149814632e-02       2.043753651939e+04 
       3.757830724861e-02       2.034022282415e+04 
       3.775653398816e-02       2.024294469549e+04 
       3.793622905462e-02       2.014573949786e+04 
       3.811744557841e-02       2.004860717151e+04 
       3.830023928589e-02       1.995151969733e+04 
       3.848466866697e-02       1.985438279703e+04 
       3.867079515631e-02       1.975735375515e+04 
       3.885868332951e-02       1.966035710789e+04 
       3.904840111573e-02       1.956337727076e+04 
       3.924002002844e-02       1.946643446684e+04 
       3.943361541613e-02       1.936940484962e+04 
       3.962926673512e-02       1.927251745300e+04 
       3.982705784679e-02       1.917558920799e+04 
       4.002707734182e-02       1.907866301892e+04 
       4.022941889459e-02       1.898171867705e+04 
       4.043418165087e-02       1.888475862569e+04 
       4.064147065278e-02       1.878777525370e+04 
       4.085139730524e-02       1.869071715629e+04 
       4.106407988896e-02       1.859366333086e+04 
       4.127964412526e-02       1.849647571879e+04 
       4.149822379948e-02       1.839932889183e+04 
       4.171996144993e-02       1.830204376832e+04 
       4.194500913096e-02       1.820466135792e+04 
       4.217352925967e-02       1.810711548081e+04 
       4.240569555738e-02       1.800955482914e+04 
       4.264169409856e-02       1.791179479640e+04 
       4.288172448228e-02       1.781387783344e+04 
       4.312600114316e-02       1.771579415092e+04 
       4.337475482208e-02       1.761751941597e+04 
       4.362823422012e-02       1.751901222122e+04 
       4.388670786315e-02       1.742025766362e+04 
       4.415046620966e-02       1.732126170366e+04 
       4.441982403988e-02       1.722198466183e+04 
       4.469512317159e-02       1.712232370543e+04 
       4.497673555644e-02       1.702238785625e+04 
       4.526506682091e-02       1.692206226630e+04 
       4.556056032887e-02       1.682129781575e+04 
       4.586370185814e-02       1.672009414014e+04 
       4.617502500260e-02       1.661834026606e+04 
       4.649511743501e-02       1.651609135948e+04 
       4.682462819507e-02       1.641323142159e+04 
       4.716427620371e-02       1.630977871969e+04 
       4.751486025051e-02       1.620557163031e+04 
       4.787727075832e-02       1.610057819019e+04 
       4.825250370191e-02       1.599471964512e+04 
       4.864167714890e-02       1.588793668982e+04 
       4.904605100801e-02       1.578008129740e+04 
       4.946705071735e-02       1.567110289941e+04 
       4.990629579499e-02       1.556089017171e+04 
       5.036563441423e-02       1.544922995360e+04 
       5.084718547252e-02       1.533600319747e+04 
       5.135339001023e-02       1.522097517486e+04 
       5.188707432017e-02       1.510396269356e+04 
       5.245152768425e-02       1.498462614705e+04 
       5.305059838018e-02       1.486271238957e+04 
       5.368881238862e-02       1.473770426209e+04 
       5.437151999697e-02       1.460920915134e+04 
       5.510507598787e-02       1.447650338609e+04 
       5.589705876535e-02       1.433872418851e+04 
       5.675653146941e-02       1.419483636215e+04 
       5.769434164617e-02       1.404345638482e+04 
       5.872344129220e-02       1.388258532380e+04 
       5.985917913846e-02       1.370969056379e+04 
       6.111946164311e-02       1.352125419917e+04 
       6.252458767607e-02       1.331259413166e+04 
       6.409643662249e-02       1.307744197321e+04 
       6.585658180293e-02       1.280787784036e+04 
       6.782297035109e-02       1.249461636802e+04 
       7.000533730381e-02       1.212796367511e+04 
       7.240065619942e-02       1.170057988556e+04 
       7.499106357725e-02       1.121033179917e+04 
       7.774629980839e-02       1.066331684621e+04 
       8.063009913056e-02       1.007421212096e+04 
       8.360731186994e-02       9.464624252083e+03 
       8.664864050675e-02       8.859072060039e+03 
       8.973216211099e-02       8.280706696539e+03 
       9.284265232519e-02       7.748608999089e+03 
       9.597005225540e-02       7.275731794665e+03 
       9.910792646313e-02       6.869181013026e+03 
       1.001428571429e-01       6.750070238237e+03 
       1.022522405909e-01       6.529636152514e+03 
       1.054004972388e-01       6.252659834444e+03 
       1.085511623263e-01       6.030380732018e+03 
       1.117032978721e-01       5.851843689826e+03 
       1.148563319082e-01       5.704710923833e+03 
       1.180099161535e-01       5.576063855441e+03 
       1.211638386505e-01       5.453816902706e+03 
       1.243179703885e-01       5.327589402123e+03 
       1.274722327812e-01       5.189547339337e+03 
       1.306265778845e-01       5.035024626841e+03 
       1.337809763758e-01       4.862649433954e+03 
       1.369354102519e-01       4.674160056117e+03 
       1.400898683964e-01       4.473779435162e+03 
       1.432443438866e-01       4.267365641462e+03 
       1.463988323591e-01       4.061520720876e+03 
       1.495533310161e-01       3.862723237781e+03 
       1.527078380218e-01       3.676602425668e+03 
       1.558623521345e-01       3.507480352983e+03 
       1.590168724829e-01       3.358042113453e+03 
       1.621713984292e-01       3.229307106561e+03 
       1.653259294853e-01       3.120731245969e+03 
