#scalar perturbations for mode k = 7.010000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_rho_fld       23:rho_plus_p_theta_fld    24:delta_p_fld        
       1.004255087507e+00       2.170879184793e-06      -1.214142142946e+00       1.492374671942e-03       5.046905069104e-09       1.261726267276e-08       1.682578867463e-15       2.523452534552e-09      -9.106066072092e-01       1.492374671942e-03       5.987936322931e-01       6.967126340737e-01      -1.214142141298e+00       1.492046975792e-03       1.985353593405e-04      -9.106066097637e-01       1.493052165304e-03      -1.214149608391e+00       1.492056184410e-03       1.985365760436e-04       3.333333188649e-01      -1.224763494864e-08       2.010101019238e-11       1.162596373420e-08 
       1.004931351030e+00       2.172343829400e-06      -1.214127377582e+00       1.493355878343e-03       5.057039976111e-09       1.264259994028e-08       1.688233451297e-15       2.528519988056e-09      -9.105955331863e-01       1.493355878343e-03       5.987970934863e-01       6.967166619381e-01      -1.214127375639e+00       1.493027519054e-03       1.988044901555e-04      -9.105955361994e-01       1.494034740093e-03      -1.214134840664e+00       1.493036731336e-03       1.988057081785e-04       3.333333188453e-01      -1.224622819932e-08       2.011234334181e-11       1.162478640520e-08 
       1.005607614553e+00       2.173808477834e-06      -1.214112659329e+00       1.494337108487e-03       5.067188539384e-09       1.266797134846e-08       1.693903265815e-15       2.533594269692e-09      -9.105844944966e-01       1.494337108487e-03       5.988005469985e-01       6.967206782460e-01      -1.214112657089e+00       1.494008085158e-03       1.990737976859e-04      -9.105844979693e-01       1.495017340470e-03      -1.214120120601e+00       1.494017301783e-03       1.990750171197e-04       3.333333188258e-01      -1.224482324859e-08       2.012367607832e-11       1.162361029587e-08 
       1.007556950075e+00       2.178030361602e-06      -1.214070496161e+00       1.497165645231e-03       5.096518364095e-09       1.274129591024e-08       1.710332064127e-15       2.548259182047e-09      -9.105528721211e-01       1.497165645232e-03       5.988104591647e-01       6.967321909449e-01      -1.214070493064e+00       1.496834702758e-03       1.998510678775e-04      -9.105528769236e-01       1.497849837263e-03      -1.214077958004e+00       1.496843939028e-03       1.998522923333e-04       3.333333187694e-01      -1.224078348915e-08       2.015634047054e-11       1.162022694163e-08 
       1.009506285596e+00       2.182252277069e-06      -1.214028719870e+00       1.499994377177e-03       5.125961954442e-09       1.281490488610e-08       1.726888408437e-15       2.562980977221e-09      -9.105215399023e-01       1.499994377178e-03       5.988203081206e-01       6.967436087629e-01      -1.214028715910e+00       1.499661508060e-03       2.006298064987e-04      -9.105215460424e-01       1.500682544637e-03      -1.214036186257e+00       1.499670768898e-03       2.006310366449e-04       3.333333187129e-01      -1.223675853060e-08       2.018900140108e-11       1.161685363502e-08 
       1.011455621118e+00       2.186474223167e-06      -1.213987327089e+00       1.502823302799e-03       5.155519526625e-09       1.288879881656e-08       1.743573038540e-15       2.577759763313e-09      -9.104904953168e-01       1.502823302801e-03       5.988300938904e-01       6.967549325413e-01      -1.213987322262e+00       1.502488499524e-03       2.014100136429e-04      -9.104905028023e-01       1.503515461094e-03      -1.213994795236e+00       1.502497781514e-03       2.014112490338e-04       3.333333186563e-01      -1.223274826846e-08       2.022165884871e-11       1.161349033254e-08 
       1.013404956640e+00       2.190696199502e-06      -1.213946314468e+00       1.505652420579e-03       5.185191299939e-09       1.296297824985e-08       1.760386699175e-15       2.592595649969e-09      -9.104597358512e-01       1.505652420581e-03       5.988398167899e-01       6.967661631179e-01      -1.213946308768e+00       1.505315675617e-03       2.021916894026e-04      -9.104597446898e-01       1.506348585145e-03      -1.213953779085e+00       1.505324972218e-03       2.021929291703e-04       3.333333185995e-01      -1.222875259856e-08       2.025431279134e-11       1.161013697733e-08 
       1.015354292161e+00       2.194918206377e-06      -1.213905678686e+00       1.508481729010e-03       5.214977496944e-09       1.303744374236e-08       1.777330140190e-15       2.607488748472e-09      -9.104292590141e-01       1.508481729012e-03       5.988494774301e-01       6.967773013234e-01      -1.213905672107e+00       1.508143034818e-03       2.029748338698e-04      -9.104292692137e-01       1.509181915309e-03      -1.213913136361e+00       1.508152341787e-03       2.029760774501e-04       3.333333185427e-01      -1.222477141708e-08       2.028696320615e-11       1.160679349913e-08 
       1.017303627683e+00       2.199140244791e-06      -1.213865416471e+00       1.511311226602e-03       5.244878343566e-09       1.311219585891e-08       1.794404116646e-15       2.622439171783e-09      -9.103990623534e-01       1.511311226604e-03       5.988590767128e-01       6.967883479752e-01      -1.213865409010e+00       1.510970575623e-03       2.037594471355e-04      -9.103990739218e-01       1.512015450125e-03      -1.213872870086e+00       1.510979896523e-03       2.037606950136e-04       3.333333184857e-01      -1.222080462071e-08       2.031961006986e-11       1.160345981452e-08 
       1.023427780213e+00       2.212404665896e-06      -1.213741320849e+00       1.520201764749e-03       5.339565045542e-09       1.334891261385e-08       1.848902450357e-15       2.669782522771e-09      -9.103059906369e-01       1.520201764752e-03       5.988888404255e-01       6.968224661217e-01      -1.213741310581e+00       1.519854916885e-03       2.062339932771e-04      -9.103060065571e-01       1.520918772983e-03      -1.213748780802e+00       1.519864305409e-03       2.062352579381e-04       3.333333183061e-01      -1.220843475175e-08       2.042215212790e-11       1.159304952937e-08 
