# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_fld            15:(.)w_fld              16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_tot            19:(.)p_tot              20:(.)p_tot_prime        21:gr.fac. D             22:gr.fac. f          
       7.166136808825e+13       1.471837501104e-25       6.468326319009e-09       1.107990460764e+22       1.381093236026e+04       1.927249329548e-10       9.897103075102e+17       3.734121516033e-09       7.256370549422e+43       1.003182537175e+33       5.015912685875e+33       1.669725188467e+43       5.565750628223e+42       4.561242779809e-06      -9.500000000000e-01       3.350332872953e+43       1.227642861144e+44       1.227642861144e+44       4.092142870281e+43      -2.530822609343e+52       9.047120897888e-06       1.200165551047e+00 
       7.089520657347e+13       1.503821570435e-25       6.537447916344e-09       1.084425136726e+22       1.381093236026e+04       1.948077031970e-10       9.791289026526e+17       3.774476010185e-09       6.950988357200e+43       9.713489954674e+32       4.856744977337e+33       1.599455301477e+43       5.331517671591e+42       4.553894399294e-06      -9.500000000000e-01       3.209335112372e+43       1.175977877163e+44       1.175977877163e+44       3.919926257016e+43      -2.398394347192e+52       9.163833784205e-06       1.184879941484e+00 
       7.013723641037e+13       1.536500675624e-25       6.608388503082e-09       1.061361012397e+22       1.381093236026e+04       1.969129818496e-10       9.686606279988e+17       3.815266613635e-09       6.658458083535e+43       9.405256132672e+32       4.702628066336e+33       1.532142701741e+43       5.107142339138e+42       4.546557857372e-06      -9.500000000000e-01       3.074271200528e+43       1.126487198637e+44       1.126487198637e+44       3.754957328601e+43      -2.272895549220e+52       9.280546670523e-06       1.169978797974e+00 
       6.938737002177e+13       1.569889921407e-25       6.679329089820e-09       1.038787427999e+22       1.381093236026e+04       1.990410121600e-10       9.583042740267e+17       3.856498039445e-09       6.378238859265e+43       9.106803356358e+32       4.553401678179e+33       1.467662932707e+43       4.892209775690e+42       4.539233134970e-06      -9.500000000000e-01       2.944891413166e+43       1.079079320568e+44       1.079079320568e+44       3.596931068379e+43      -2.153963623085e+52       9.397259556843e-06       1.155447795457e+00 
       6.864552076686e+13       1.604004738392e-25       6.752088665962e-09       1.016693950469e+22       1.381093236026e+04       2.011920400045e-10       9.480586441456e+17       3.898175051509e-09       6.109812577545e+43       8.817821248192e+32       4.408910624096e+33       1.405896775538e+43       4.686322585125e+42       4.531920213047e-06      -9.500000000000e-01       2.820956535601e+43       1.033666588921e+44       1.033666588921e+44       3.445555296228e+43      -2.041254949514e+52       9.513972443165e-06       1.141273311780e+00 
       6.791160293113e+13       1.638860895046e-25       6.824848242104e-09       9.950703686437e+21       1.381093236026e+04       2.033663139164e-10       9.379225545583e+17       3.940302465313e-09       5.852682935902e+43       8.538009279710e+32       4.269004639855e+33       1.346730028687e+43       4.489100095623e+42       4.524619072591e-06      -9.500000000000e-01       2.702237420426e+43       9.901650385528e+43       9.901650385528e+43       3.300550128338e+43      -1.934443889515e+52       9.630685329488e-06       1.127442385157e+00 
       6.718553171646e+13       1.674474500037e-25       6.899426807649e-09       9.739066885325e+21       1.381093236026e+04       2.055640851149e-10       9.278948341238e+17       3.982885148283e-09       5.606374518605e+43       8.267076458978e+32       4.133538229489e+33       1.290053296746e+43       4.300177655821e+42       4.517329694622e-06      -9.500000000000e-01       2.588514563836e+43       9.484942379683e+43       9.484942379683e+43       3.161647459729e+43      -1.833221843540e+52       9.747398215814e-06       1.113942674577e+00 
       6.646722323137e+13       1.710862014235e-25       6.974005373195e-09       9.531931287042e+21       1.381093236026e+04       2.077856075344e-10       9.179743242225e+17       4.025928020532e-09       5.370431917652e+43       8.004741027983e+32       4.002370513991e+33       1.235761788180e+43       4.119205960599e+42       4.510052060190e-06      -9.500000000000e-01       2.479577699777e+43       9.085771406089e+43       9.085771406089e+43       3.028590468536e+43      -1.737296359873e+52       9.864111102141e-06       1.100762423135e+00 
       6.575659448129e+13       1.748040254613e-25       7.048583938740e-09       9.329201157638e+21       1.381093236026e+04       2.100311378532e-10       9.081598786219e+17       4.069436055282e-09       5.144418890750e+43       7.750730169609e+32       3.875365084805e+33       1.183755121573e+43       3.945850405243e+42       4.502786150375e-06      -9.500000000000e-01       2.375225411179e+43       8.703399423967e+43       8.703399423967e+43       2.901133141167e+43      -1.646390289676e+52       9.980823988470e-06       1.087890423833e+00 
       6.505356335897e+13       1.786026404423e-25       7.124981493689e-09       9.130782799283e+21       1.381093236026e+04       2.123009355236e-10       8.984503633443e+17       4.113414279534e-09       4.927917554735e+43       7.504779723927e+32       3.752389861964e+33       1.133937140033e+43       3.779790466776e+42       4.495531946289e-06      -9.500000000000e-01       2.275264757551e+43       8.337119452769e+43       8.337119452769e+43       2.779039817440e+43      -1.560240986252e+52       1.009753687480e-05       1.075315987830e+00 
